index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
119,"Adult Dry Cat Food - +1 Year, Ocean Fish","Kitchen, Garden & Pets",Pet Food & Accessories,Maxi Persian,999,999,Pet Meals & Treats,,"A nutrient-rich food that has been formulated to deliver a cat’s need for its diet requirement. Enriched with ocean fish and other essential ingredients which helps your feline to maintain the beautiful skin and coat. Taurine, an essential amino acid keeps the heart healthy and promotes the growth and development of the body. We assure all our ingredients goes through a strict selection process by nutritional laboratories to meet the safety and quality standards of the product. Our extensive research guarantees high palatability, better digestibility."
120,Millet Rusk - Sweet,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Nutribee,100,100,Rusks,4.5,"Made with organic whole wheat, millets and jaggery, our sweet rusk is baked to perfection. You can enjoy a guilt-free snack with your tea or coffee which is filled with fibre and nutrition and is super tasty. All our products are made with no maida, butter, sugar or preservatives."
121,"Stainless Steel Kadai - Induction Bottom With Glass Lid,  26 cm","Kitchen, Garden & Pets",Cookware & Non Stick,Vinod,1099,1335,Kadai & Fry Pans,3.8,"Create those nutritious and flavourful recipes quickly with minimal effort by bringing home this 24 cm Induction Friendly Kadhai from Vinod. It prevents food from getting burnt. It is ergonomically designed using high-quality stainless steel, this kadhai ensures even distribution of heat while preventing food from frothing or getting burnt. Easy to clean and is dishwasher-safe, this kadhai can be easily cleaned and maintained after every use. It is suitable for all cooktops. This kadhai comes with an induction base which makes it perfect to be used on all types of cooktops including gas stoves and induction cooktops."
122,"Power Pocket - Long Lasting Bathroom Fragrance, Berry Rush",Cleaning & Household,Fresheners & Repellents,Aer,53.35,55,Air Freshener,4.2,"Petal Crush Pink Life is not a bed of roses. But it can smell like one right? Here's a fragrance that is as fresh as it is romantic. Godrej Aer Pocket Say hello to Godrej aer pocket, a range of bathroom air freshener available in 5 delightful fragrances. Its unique power gel technology keeps your bathroom fragrant for 3-4 weeks and ensures that its fragrance reaches every corner of your bathroom. A must-have stock item in your pantry & toilet, Godrej aer pocket is so easy to use, that you simply have to unwrap the packet and hang it with the hook provided. That's it, you are done. Godrej aer pocket works 24x7 without any effort, so you can walk-in to a refreshing fragrance every-time you step into your bathroom. You can now choose from any of our 5 refreshing fragrance variants - Misty Morning Meadows, Fresh Lush Green, Bright Tangy Delight, Violet Valley Bloom, and Petal Crush Pink."
123,Cabbage - Red,Fruits & Vegetables,Fresh Vegetables,Fresho,23,28.75,Cabbage & Cauliflower,,"It is round, wrapped in purplish red leaf layers. The flavour is more peppery and bold compared to green ones.
Its leaves are coarser as they have less water content. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1561/violet-cabbage-walnut-salad/"
124,Marvel Spiderman 2-In-1 Snackeez Bottle With Snack Box,"Kitchen, Garden & Pets",Storage & Accessories,Hm International,269,299,Lunch Boxes,3,"Alongside a lovely cartoon character design, the innovative Snackeez snacking solution allows you to have drink water and have your favourite snack all in one hand. The cup stays perfectly sealed to prevent spills and keep snacks fresh."
125,Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E),"Foodgrains, Oil & Masala",Edible Oils & Ghee,Dhara ,183,185,"Sunflower, Rice Bran Oil",4.1,"Dhara refined rice bran oil is high in Vitamin E and mono-unsaturated fatty acids.
Food fried in this oil supposedly absorbs less oil ensuring lower calorie intake.
It has reasonably balanced fat composition (MUFA, PUFA and SFA) apart from the presence of Oryzanol.
Its ideally for cooking. Store in cool and dry place, away from direct sunlight."
126,Premium Square Plastic Container - Green,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,179,280,Containers Sets,3.9,These containers are microwave safe but without its lid and is refrigerator safe and dishwasher safe. Use it only for reheating the food and not for cooking food in this container. All containers are airtight but not leakproof.
127,Instant Popcorn - Butter Delite,Snacks & Branded Foods,Snacks & Namkeen,ACT II,29.7,33,Chips & Corn Snacks,4.2,"Enhance your movie-watching experience, in the comfort of your own home with World’s No. 1 ACT II popcorn. ACT II popcorn is easy to make. In only 3 minutes, enjoy Hot n Fresh n delicious popcorn along with the delightful popcorn aroma. You can choose among different pack sizes such as individual packs, family packs and party packs, as per your need.
Relish your favourite ACT II popcorn, now available in various lip-smacking desi flavours such as butter, Sweet Pani Puri, Tandoori Tadka, Southern Spice, Butter pepper as well as international flavours such as Cheese Delite, Peri Peri, Thai Sweet Chilli and Tomato Chili."
128,Cherry Lip Balm 4.5 g + Deep Nourish Elbow & Foot Cream 50 g,Beauty & Hygiene,Skin Care,Kaya Clinic,455,525,Lip Care,,"Cherry Lip Balm:

The skin on your lips is thinner than your facial skin and requires nourishing care to keep it supple and hydrated
Kaya Derma Naturals lip balms are a handbag essential that comes in stick format which is easy to use and carry when you are out and about 
Heals dry and chapped lips 
Moisturised and softens lips 
Soft glossy look 6.Contains SPF protection

Deep Nourish Elbow & Foot Cream: This cream is specially formulated to gently heal rough and cracked feet. It is also recommended for foot softening, treating corns, calluses and thick skin around the elbows and knees. Makes feet smooth and soft."
129,Nutrition Plus Health Supplement - Joint Support,Beauty & Hygiene,Health & Medicine,Abbies,1299,1299,Supplements & Proteins,,"This supplement contains Glucosamine and Chondroitin, which may support joints in order to promote healthy cartilage and tissue, while MSM supports healthy collagen for supreme joint support. Joint Support is great to help with painful stiffness, discomfort, and poor range of motion. With a specialised Glucosamine Chondroitin complex per serving, you can move easily and comfortably again. Chondroitin is the most abundant glycosaminoglycan in cartilage and is partly responsible for the resiliency of cartilage. Chondroitin is also important in preventing the action of enzymes that can destroy cartilage."
130,Glass Belleza Bowl - Wine,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,299,398,Glassware,,"These Iveo Belleza Glass Bowls are made from high quality coloured glass material. These are extra strong, freezer safe, no sharp edges, no wobbling. The capacity of these bowls are 400 ml each. These are ideal for storing & serving fruits, snacks & other food articles."
131,Dark Fantasy - Choco Fills Biscuits - Cookies,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,23.76,30,Cream Biscuits & Wafers,4.3,"Sunfeast Dark Fantasy Chocofill is nothing but smooth and tasty choco creme inside cookies that are baked to perfection. It has a rich chocolaty taste, and because of its soft texture, it simply melts in the mouth after a bite. This innovative cookie has its center filled with luscious chocolate which adds to the crunchiness."
132,Banana - Red,Fruits & Vegetables,Fresh Fruits,Fresho,39,48.75,"Banana, Sapota & Papaya",,"Standing apart from the common varieties of yellow bananas, Red bananas are short, plump and reddish-purple in colour.
Even the flesh is light pink and sweeter compared to other varieties. They are high in nutrients and are freshly procured from the farmers. 
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1383/banana-ice-cream/"
133,"Chilli - Bajji, Mild",Fruits & Vegetables,Herbs & Seasonings,Fresho,14,17.5,"Lemon, Ginger & Garlic",,"Fresho is our brand of fresh fruits and vegetables which are individually handpicked every day by our experienced and technically competent buyers. Our buying, storing and packaging processes are tailored to ensure that only the fresh, nutrient-dense, healthy and delicious produce reaches your doorstep. We guarantee the quality of all Fresho products. If you're not satisfied with the freshness of the items, you can hand them back to our Customer Experience Executive (CEE) for a full refund. Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability."
134,I Love You Fruit N Nut Chocolate,Snacks & Branded Foods,Chocolates & Candies,Amul,90,100,Chocolates,4.2,"This yummilicious chocolate is filled with crunchy almonds and handpicked juicy raisins and studded in the smooth texture of dark chocolate to give you the best chocolate pleasure.With 55% cocoa, Amul Fruit 'N' Nut Chocolate is a classic combination that is celebrated for decades and relished even today. The amalgamation of the dark chocolate and dry fruits will surely give your taste buds a heavenly feeling. Enjoy this sweet delight with your loved ones or enjoy some self-indulgence."
135,Pitted Green Olives,Gourmet & World Food,Tinned & Processed Food,Del Monte,230,230,"Olive, Jalapeno, Gherkin",4.4,"Del Monte olives are sourced from the largest olive producer and exporter in Spain. Olives can be used while preparing Italian & Mediterranean cuisines at home, as well as for healthy snacking. Deep & rich in flavor, Del Monte Pitted Green Olives go exceptionally well in salads & pasta, or simply for healthy snacking. Ready-to-use Spanish olives of the Hojiblanca variety. Use these in pizzas, pasta, bruschetta, garlic bread, or for plain healthy snacking."
136,Glass Mixing Bowl With Lid - Polo,"Kitchen, Garden & Pets",Crockery & Cutlery,Yera,159,190,Glassware,3.7,"This range of Yera mixing and serving bowls were designed as a tribute to the modern gleaming kitchen of today. These durable bowls come in different sizes to fulfil every need. The lids lock the aroma in and help to keep the food fresh for a long period of time. With these mixing bowls, you will be able to directly warm food in a microwave oven without having to go through the hassles of transferring it to another bowl or plate. This helps to warm the food in very little time and negates the need for another crockery for the same."
137,Cake Gel,Gourmet & World Food,Cooking & Baking Needs,Purix,85.5,90,"Baking, Cake Decorations",,"Cake gel is a translucent soft jelly included in emulsifiers and humectants, which considerably enhances volume through increased aeration and provides a more uniform crumb structure. Adding Cake Gel helps in smooth mixing of all ingredients. Cake Gel is found in baked goods, ice cream, toppings, waffle, and fillings."
138,Toffees - Excellence Assorted,Gourmet & World Food,Chocolates & Biscuits,Sapphire,250,250,International Chocolates,,"Almond, Anjeer, Cashew, Pistachio, Rose Flavoured Toffees"
139,Organic Idly Podi - Ginger,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,75,75,Breakfast & Snack Mixes,3.9,"This is a Ginger flavour Idly Podi that can be had with Idli, Dosa or Adai/Cheela. Ginger helps in digestion. It contains gingerol, a substance with medicinal properties, that can treat many forms of nausea. The anti-inflammatory effects of ginger can help with osteoarthritis, treat chronic indigestion and help fight infections. Certified organic products are only used."
140,Glass Water Bottle - Aquaria Organic Purple,"Kitchen, Garden & Pets",Storage & Accessories,Cello,369,425,Water & Fridge Bottles,4.8,"A cheerful pattern that adorns this brightly hued glass bottle. Bring home the colourful eccentricity of these Italian milk and water bottle for a pleasing sip each time as they are airtight. This serves as an ideal way to store milk, water, juices or just for decorative pieces."
141,Stainless Steel Pav Bhaji/Idli Oval Shaped Plate,"Kitchen, Garden & Pets",Steel Utensils,Omega,125,125,Plates & Tumblers,3.6,"We believe every meal should be complemented by dinnerware that makes you smile. Hence, make a fun addition to your kitchen with the plates that blends superior durability, hassle-free maintenance and a sunny look to your dinner table. This high-quality food-grade stainless steel plate comes with 3 apple shape compartments.All compartments can accommodate different types of food like chapatti/curries/salad/ pickle or sweet. It is more useful where one can have a different quantity of small food in 1 plate without using 3 different bowls for it. This season give your kitchen a perfect gift with Compartment Plates. It is very economical in range. It is non-breakable, durable, sturdy, rust free and long lasting."
142,Organic Cow Ghee/Tuppa,"Foodgrains, Oil & Masala",Organic Staples,Akshayakalpa,280,280,"Organic Edible Oil, Ghee",4.2,"Akshayakalpa Ghee is delicious and enjoy it with all rice, pasta and vegetable dishes. It is rich in essential fatty acids and vitamins A, D, E and K. It is great for cooking, high heat stability and easy to digest."
143,Dates/Kharjura - Deseeded,"Foodgrains, Oil & Masala",Dry Fruits,Lion,66,66,Other Dry Fruits,4.1,"Dates provide several necessary nutrients such as fiber, calcium, sulfur, iron, amino acids, manganese, magnesium, copper, phosphorous, potassium, and fats to the body.
They can be simply digested in nature.
As against other forms, dates are excellent for providing energy to your body.
They assist to strengthen your immunity in a natural manner.
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/"
144,Chutney - Sweet Mango Sliced (without Garlic),Snacks & Branded Foods,Pickles & Chutney,Priya,90,90,Lime & Mango Pickle,3.9,
